ClassId,PlantName,W1_High_mean,W2_High_mean,W3_High_mean,W4_High_mean,W1_High_max,W2_High_max,W3_High_max,W4_High_max,W1_High_min,W2_High_min,W3_High_min,W4_High_min,W1_High_dif,W2_High_dif,W3_High_dif,W4_High_dif,W1_High_std,W2_High_std,W3_High_std,W4_High_std,W1_Low_mean,W2_Low_mean,W3_Low_mean,W4_Low_mean,W1_Low_max,W2_Low_max,W3_Low_max,W4_Low_max,W1_Low_min,W2_Low_min,W3_Low_min,W4_Low_min,W1_Low_dif,W2_Low_dif,W3_Low_dif,W4_Low_dif,W1_Low_std,W2_Low_std,W3_Low_std,W4_Low_std
A-1-01-B-2,스투키,13.593256059009484,12.600476568705322,12.946058091286307,12.91830985915493,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.431260838039707,2.827027695166814,3.3890085223390694,3.522829040647978,14.6127502634352,13.545512311358223,13.917012448132784,13.887183098591551,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.763605400892685,3.039054772304325,3.643184161514499,3.787041218696577
A-1-01-B-2,스투키,13.59157894736842,12.600715137067938,12.94633857100504,12.918525475463724,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.429227173284238,2.8275640974626284,3.3894718408376736,3.523214575370326,14.610947368421058,13.545768772348039,13.917313963830422,13.887414886123507,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.761419211280556,3.039631404772326,3.6436822289004986,3.7874556685231
A-1-01-B-2,스투키,13.589905362776026,12.600476568705322,12.949896234805811,12.91830985915493,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.427196224710059,2.827027695166814,3.394771836161795,3.522829040647978,14.60914826498423,13.545512311358223,13.921138452416251,13.887183098591551,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.759235941563314,3.039054772304325,3.64937972387393,3.787041218696577
A-1-01-B-2,스투키,13.588235294117647,12.600715137067938,12.95017793594306,12.918525475463724,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.425167986533046,2.8275640974626284,3.395235895383068,3.523214575370326,14.607352941176476,13.545768772348039,13.921441281138794,13.887414886123507,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.757055585523023,3.039631404772326,3.649878587536799,3.7874556685231
A-1-01-B-2,스투키,13.586568730325288,12.600476568705322,12.95373665480427,12.91830985915493,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.423142452985132,2.827027695166814,3.4005244556050527,3.5228290406479785,14.605561385099687,13.545512311358223,13.925266903914595,13.887183098591551,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.754878136959017,3.039054772304325,3.6555637897754316,3.787041218696577
A-1-01-B-2,스투키,13.584905660377359,12.600715137067938,12.954019578760011,12.918525475463724,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.421119618314265,2.8275640974626284,3.4009892536546076,3.523214575370326,14.603773584905664,13.545768772348039,13.925571047167015,13.887414886123507,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.752703589687835,3.039631404772326,3.656063447678703,3.7874556685231
A-1-01-B-2,스투키,13.58324607329843,12.600476568705322,12.957579353307624,12.91830985915493,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.419099476784347,2.827027695166814,3.4062664301739907,3.5228290406479785,14.601989528795817,13.545512311358223,13.9293978048057,13.887183098591551,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.750531937543173,3.039054772304325,3.661736412437041,3.787041218696577
A-1-01-B-2,스투키,13.581589958158995,12.600715137067938,12.95786350148368,12.918525475463724,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.417082022675198,2.8275640974626284,3.4067319651626358,3.523214575370326,14.600209205020924,13.545768772348039,13.929703264094957,13.887414886123507,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.7483631743758385,3.039631404772326,3.6622368625498334,3.7874556685231004
A-1-01-B-2,스투키,13.579937304075235,12.600476568705322,12.961424332344214,12.91830985915493,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.41506725028249,2.827027695166814,3.41199780893046,3.5228290406479785,14.598432601880882,13.545512311358223,13.933531157270034,13.887183098591551,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.746197294053678,3.039054772304325,3.6678976446002443,3.787041218696577
A-1-01-B-2,스투키,13.578288100208768,12.600715137067938,12.961709706144257,12.918525475463724,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.413055153917713,2.8275640974626284,3.412464078974133,3.523214575370326,14.59665970772443,13.545768772348039,13.933837934105078,13.887414886123507,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.744034290461542,3.039631404772326,3.6683988848971936,3.7874556685231004
A-1-01-B-2,스투키,13.576642335766424,12.600476568705322,12.965271593944792,12.91830985915493,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.411045727908113,2.827027695166814,3.4177186404982383,3.5228290406479785,14.59489051094891,13.545512311358223,13.937666963490654,13.887183098591551,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.741874157501222,3.039054772304325,3.674047538535606,3.7870412186965767
A-1-01-B-2,스투키,13.575,12.600715137067938,12.965558194774347,12.918525475463724,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.409038966596652,2.8275640974626284,3.418185643717945,3.523214575370326,14.593125000000002,13.545768772348039,13.937975059382426,13.887414886123507,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.739716889091402,3.039631404772326,3.6745495669967907,3.7874556685231004
A-1-01-B-2,스투키,13.573361082206036,12.600476568705322,12.969121140142517,12.91830985915493,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.407034864341953,2.827027695166814,3.42342897306818,3.5228290406479785,14.591363163371492,13.545512311358223,13.94180522565321,13.887183098591551,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.7375624791675985,3.039054772304325,3.680186146048294,3.7870412186965767
A-1-01-B-2,스투키,13.571725571725572,12.600715137067938,12.969408969408969,12.918525475463724,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.405033415518252,2.8275640974626284,3.423896707589926,3.523214575370326,14.589604989604995,13.545768772348039,13.942114642114646,13.887414886123507,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.7354109216821225,3.039631404772326,3.6806889606591704,3.7874556685231004
A-1-01-B-2,스투키,13.570093457943925,12.600476568705322,12.972972972972974,12.91830985915493,72.0,72.0,72.0,96.0,12.0,12.0,12.0,12.0,60.0,60.0,60.0,84.0,4.403034614515353,2.827027695166814,3.429128854403283,3.5228290406479785,14.587850467289723,13.545512311358223,13.945945945945951,13.887183098591551,77.4,77.4,77.4,103.2,12.9,12.9,12.9,12.9,64.5,64.5,64.5,90.3,4.733262210604004,3.039054772304325,3.6863135184835283,3.787041218696577
