ClassId,PlantName,W1_High_mean,W2_High_mean,W3_High_mean,W4_High_mean,W1_High_max,W2_High_max,W3_High_max,W4_High_max,W1_High_min,W2_High_min,W3_High_min,W4_High_min,W1_High_dif,W2_High_dif,W3_High_dif,W4_High_dif,W1_High_std,W2_High_std,W3_High_std,W4_High_std,W1_Low_mean,W2_Low_mean,W3_Low_mean,W4_Low_mean,W1_Low_max,W2_Low_max,W3_Low_max,W4_Low_max,W1_Low_min,W2_Low_min,W3_Low_min,W4_Low_min,W1_Low_dif,W2_Low_dif,W3_Low_dif,W4_Low_dif,W1_Low_std,W2_Low_std,W3_Low_std,W4_Low_std
A-2-06-B-3,호접란,15.383152173913043,11.268327743172017,10.548987589810581,10.191770573566085,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.089800002920244,3.908575059420198,3.3978369977323197,3.0508915490284263,23.074728260869566,16.902491614758027,15.823481384715873,15.287655860349128,27.0,27.0,27.0,27.0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,6.134700004380366,5.862862589130298,5.096755496598479,4.576337323542639
A-2-06-B-3,호접란,15.383152173913043,11.268327743172017,10.548987589810581,10.191770573566085,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.089800002920244,3.908575059420198,3.3978369977323197,3.0508915490284263,23.074728260869566,16.902491614758027,15.823481384715873,15.287655860349128,27.0,27.0,27.0,27.0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,6.134700004380366,5.862862589130298,5.096755496598479,4.576337323542639
A-2-06-B-3,호접란,15.383152173913043,11.268327743172017,10.548987589810581,10.191770573566085,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.089800002920244,3.908575059420198,3.3978369977323197,3.0508915490284263,23.074728260869566,16.902491614758027,15.823481384715873,15.287655860349128,27.0,27.0,27.0,27.0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,6.134700004380366,5.862862589130298,5.096755496598479,4.576337323542639
A-2-06-B-3,호접란,15.383152173913043,11.268327743172017,10.548987589810581,10.191770573566085,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.089800002920244,3.908575059420198,3.3978369977323197,3.0508915490284263,23.074728260869566,16.902491614758027,15.823481384715873,15.287655860349128,27.0,27.0,27.0,27.0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,6.134700004380366,5.862862589130297,5.096755496598479,4.576337323542639
A-2-06-B-3,호접란,15.383152173913043,11.268327743172017,10.548987589810581,10.191770573566085,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.089800002920244,3.908575059420198,3.3978369977323197,3.0508915490284263,23.074728260869566,16.902491614758027,15.823481384715873,15.287655860349128,27.0,27.0,27.0,27.0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,6.134700004380366,5.862862589130297,5.096755496598479,4.576337323542639
A-2-06-B-3,호접란,15.383152173913043,11.268327743172017,10.548987589810581,10.191770573566085,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.089800002920244,3.908575059420198,3.3978369977323197,3.0508915490284263,23.074728260869566,16.902491614758027,15.823481384715873,15.287655860349128,27.0,27.0,27.0,27.0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,6.134700004380366,5.862862589130298,5.096755496598479,4.576337323542639
A-2-06-B-3,호접란,15.383152173913043,11.268327743172017,10.548987589810581,10.191770573566085,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.089800002920244,3.908575059420198,3.3978369977323197,3.0508915490284263,23.074728260869566,16.902491614758027,15.823481384715873,15.287655860349128,27.0,27.0,27.0,27.0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,6.134700004380366,5.862862589130298,5.096755496598479,4.576337323542639
A-2-06-B-3,호접란,15.383152173913043,11.268327743172017,10.548987589810581,10.191770573566085,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.089800002920244,3.908575059420198,3.3978369977323197,3.0508915490284263,23.074728260869566,16.902491614758027,15.823481384715873,15.287655860349128,27.0,27.0,27.0,27.0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,6.134700004380366,5.862862589130298,5.096755496598479,4.576337323542639
A-2-06-B-3,호접란,15.383152173913043,11.268327743172017,10.548987589810581,10.191770573566085,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.089800002920244,3.908575059420198,3.3978369977323197,3.0508915490284263,23.074728260869566,16.902491614758027,15.823481384715873,15.287655860349128,27.0,27.0,27.0,27.0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,6.134700004380366,5.862862589130298,5.096755496598479,4.576337323542639
A-2-06-B-3,호접란,15.365853658536585,11.268327743172017,10.548987589810581,10.191770573566085,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.097724078278455,3.908575059420198,3.3978369977323197,3.0508915490284263,23.048780487804876,16.902491614758027,15.823481384715873,15.287655860349128,27.0,27.0,27.0,27.0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,6.146586117417683,5.862862589130297,5.096755496598479,4.576337323542639
